Date / Time,City,State,Shape,Duration,Summary,Posted
8/3/20 01:00,Seneca Falls,NY,Unknown,30 seconds,Mysterious lights and contrail in sky at 1 am casting shadows into backyard.,8/6/20
8/2/20 23:30,Lemont Furnace,PA,Circle,5 minutes,Saw round object street across sky than hover and make incredible maneuver,8/20/20
8/2/20 23:00,Canon City,CO,Triangle,1 hour,We noticed it and at first we thought it was a balloon. There was no movement. We watched it over an hour. It almost looked like a fire,8/6/20
8/2/20 21:45,Berkeley Springs,WV,Triangle,1.5-2.5 minutes,There were two objects. A triangle shaped on heading east and dot of light heading west. When they heard each other the dot made a 90 d,8/6/20
8/2/20 21:45,Houston,MS,Sphere,1.5 hours,Rapid moving craft moved into stationary position seemed to fire something downward then something shot upward towards it.,8/6/20
8/2/20 21:30,Uniontown,PA,Disk,5 minutes,Swarm of Small blimp like objects with lights on front spotted while moon gazing!,8/6/20
8/2/20 21:30,Woodbridge,VA,Formation,8-10 minutes,14-24 CRAFT WITH WHITE/ORANGE LIGHTS IN FORMATION FOLLOWING EACH OTHER,8/6/20
8/2/20 21:00,Everret,PA,Circle,<5 minutes,Circle type UFO with 4 square bright lights and triangle tail seen through binoculars traveled across the sky in less then 2 minutes.,8/6/20
8/2/20 17:00,Beverly,MA,Triangle,35 minutes,Triangular with three lights coming from the top,8/20/20
8/2/20 13:43,Kansas City,MO,,,MADAR Node 40,8/20/20
8/2/20 09:57,Redmond,OR,Circle,Unknown,"UFO Redmond, Oregon, August 2, 2020. West of Forked Horn Butte",8/6/20
8/2/20 07:30,Walden,CO,Oval,2 hours,"Bright oval objects hovering over Walden, CO 08/02/20",8/6/20
8/2/20 05:00,Beverly,MA,Changing,35-40 minutes,Looking out my skylight window at sunrise directly from the East a bright saucer shaped object hovered for 40 minutes,8/20/20
8/2/20 03:57,Albuquerque,NM,Cross,10 minutes,Dark cross shape with light like shimmering rhinestones: three on each side of each arm.,8/6/20
8/2/20 03:47,Lacey,WA,,,MADAR Node 50,8/20/20
8/2/20 03:22,Fishers,IN,,,MADAR Node 84,8/20/20
8/2/20 01:45,Satsuma,AL,Circle,40 seconds,I was on my patio watching tv. I looked over and saw 2 round discs of lights that hovered and then both shot out of view. I recorded th,8/6/20
8/2/20 00:00,Tahoe City,CA,Circle,3 minutes,On August second around midnight my daughter and I were sitting on a dock on Tahoe lake. We were admiring the full moon and Venus. Out,8/20/20
8/1/20 22:50,Bentonsport,IA,Fireball,5 minutes,"In Keosauqua Iowa on 8/12/2020 around 10:30pm, my boyfriend and I were outside standing near the Des Moines River trying to observe the",8/6/20
8/1/20 22:50,Madison,AL,Light,~10 seconds,Ball of light in an upward arc trajectory.,8/20/20
8/1/20 22:47,New Haven,CT,Light,0:17,"unexplaine light moves traveling extremely fast, stops and dissappears actual incident caught in video moving fast across over the foo",8/6/20
8/1/20 22:30,Wabasha,MN,Fireball,1 minute,,11/5/20
8/1/20 22:15,Florence,SC,Circle,2 minutes,Erratically flying light turns red and disappears.,8/6/20
8/1/20 21:15,Woonsocket,RI,Light,4 minutes,I went outside to bring my cat out and there was a Bright light with a small light following it about 10 feet behind[ the perspective i,8/6/20
8/1/20 21:00,Damariscotta,ME,Light,20 seconds,Two moving lights moving in tandem in the sky pause for a moment then fade from sight after being green beamed.,11/5/20
8/1/20 21:00,syracuse,NY,Unknown,1 minute,flaming object over Syracuse NY,8/6/20
8/1/20 20:55,Glendora,CA,Light,1 minute,UFO Light source from the base of a mountain in Glendora CA  zig zags then zooms into space curves then sonic boom.,8/6/20
